tipo_de_inmueble,direccion,area_construida,area_total,pisos,dormitorios,baños,cochera,precio_soles,precio_dolares
CASA URBANA EN VENTA,"San Martin, San Martín, La Banda de Shilcayo",112.8,120.0,0,0,0,0,320000,86021
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, La Molina",148.94,148.94,2,4,2,2,853300,230000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Santiago de Surco",104.0,104.0,7,3,2,0,853300,230000
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",134.83,203.73,7,3,3,2,5936,1600
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",106.12,106.12,13,3,3,1,778729,209900
DEPARTAMENTO EN VENTA,"Lima, Lima, Los Olivos",57.97,70.5,1,2,2,0,389550,105000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",155.0,155.0,4,3,3,1,1057350,285000
CASA EN VENTA,"Lima, Prov. Const. Del Callao, Callao",160.0,122.0,1,3,2,3,593600,160000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",87.0,87.0,3,2,2,0,1800,483
CASA EN VENTA,"Lima, Lima, San Martin de Porres",236.0,236.0,0,3,2,0,445200,120000
DEPARTAMENTO FLAT EN VENTA,"Arequipa, Arequipa, Arequipa",96.0,96.0,2,4,1,0,248570,67000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Miraflores",107.4,107.4,2,3,3,1,4266,1150
DEPARTAMENTO DUPLEX EN ALQUILER,"Lima, Lima, Miraflores",134.83,203.73,7,3,3,2,5936,1600
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",7.0,7.0,2,1,1,0,400,107
CASA EN VENTA,"Lima, Lima, San Martin de Porres",50.0,98.0,3,6,3,0,285670,77000
CASA URBANA EN VENTA,"Cusco, Urubamba, Urubamba",719.23,137.97,0,3,3,0,1072190,289000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Lima",32.6,32.6,3,1,1,0,1855,500
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, Los Olivos",82.36,100.28,1,3,2,0,500850,135000
CASA URBANA EN VENTA,"San Martin, San Martín, La Banda de Shilcayo",112.8,120.0,0,0,0,0,320000,86021
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",7.0,7.0,2,1,1,0,600,161
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",8.0,8.0,2,1,1,0,600,161
DEPARTAMENTO EN CONDOMINIO EN ALQUILER,"Lima, Lima, Magdalena del Mar",47.73,47.73,11,1,1,0,2500,672
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Arequipa",7.0,7.0,2,1,1,0,400,107
MINIDEPARTAMENTO EN ALQUILER,"Arequipa, Arequipa, Jose Luis Bustamante Y Rivero",8.0,8.0,3,1,1,0,500,134
CASA URBANA EN ALQUILER,"Lima, Lima, La Molina",263.66,433.0,3,3,3,2,7420,2000
CASA EN VENTA,"Lima, Lima, San Martin de Porres",236.0,236.0,0,3,2,0,445200,120000
DEPARTAMENTO DUPLEX EN VENTA,"Lima, Lima, San Borja",262.5,282.5,4,4,4,0,1472870,397000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Los Olivos",123.63,123.63,2,3,1,0,612150,165000
CASA URBANA EN VENTA,"Lima, Lima, Ate",120.0,120.0,2,3,3,1,964600,260000
CASA URBANA EN VENTA,"Lima, Lima, Carabayllo",250.0,480.0,2,16,12,1,775390,209000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",94.2,94.2,6,2,2,1,1075900,290000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Chorrillos",87.0,97.0,1,3,2,1,463750,125000
CASA URBANA EN VENTA,"Lima, Lima, San Martin de Porres",103.83,149.22,2,3,3,0,352450,95000
DEPARTAMENTO FLAT EN VENTA,"Lima, Lima, Miraflores",106.12,106.12,13,3,3,1,778729,209900
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Los Olivos",103.0,103.0,3,4,2,0,1650,443
DEPARTAMENTO EN VENTA,"Lima, Lima, Los Olivos",57.97,70.5,1,2,2,0,389550,105000
DEPARTAMENTO FLAT EN ALQUILER,"Lima, Lima, Santiago de Surco",87.0,87.0,3,2,2,0,1800,483
DEPARTAMENTO EN VENTA,"Lima, Lima, Comas",50.0,50.0,12,3,1,0,155000,41666
