direccion,distrito,metraje,dormitorios,precio
Jirón Abraham Valdelomar 629,"Pueblo Libre, Lima",52 a 193 m² tot.,1 a 4 dorm.,"S/ 371,696 · USD 98,593"
Av. Paseo de la República 5745,"Miraflores, Lima",120 a 122 m² tot.,3 dorm.,"S/ 750,000 · USD 200,000"
Av. Brasil 1350,"Pueblo Libre, Lima",37 a 72 m² tot.,1 a 3 dorm.,"S/ 226,569"
Av. Arequipa N° 1437,"Santa Beatriz, Lima Cercado",42 a 136 m² tot.,1 a 3 dorm.,"S/ 321,921"
calle el rosario 342,"Miraflores, Lima",81 a 204 m² tot.,1 a 3 dorm.,"S/ 710,600"
Jirón Mariscal Ramon Castilla 740,"San Miguel, San Miguel",64 a 106 m² tot.,3 dorm.,"S/ 474,813"
Jr.Pablo Bermudez 316,"Jesús María, Lima",51 a 75 m² tot.,2 a 3 dorm.,"S/ 428,000"
Av. Paseo de la República 2099 – Santa Catalina,"Santa Catalina, La Victoria",41 a 74 m² tot.,1 a 2 dorm.,"S/ 352,588"
Calle República de Líbano 115,"Santiago de Surco, Lima",48 a 99 m² tot.,1 a 3 dorm.,"S/ 394,900"
Jiron Tejada 165 Barranco,"Barranco, Lima",73 m² tot.,3 dorm.,"S/ 430,000 · USD 115,000"
Malecón 28 de Julio 455,"Miraflores, Lima",107 m² tot.,3 dorm.,"S/ 543,750 · USD 145,000"
Calle El Rosal Los Sauces Surquillo,"Surquillo, Lima",120 m² tot.,3 dorm.,"S/ 585,900 · USD 155,000"
Padre Urraca al 121,"Parques De La Huaca Etapa 1, San Miguel",94 m² tot.,3 dorm.,"S/ 377,000 · USD 102,000"
Calle Las Palomas 1,"La Pradera, La Molina",1080 m² tot.,4 dorm.,"S/ 6,639,400 · USD 1,780,000"
Surco,"Santiago de Surco, Lima",104 m² tot.,3 dorm.,"S/ 635,040 · USD 168,000"
Calle Pietro Marchand Cuadra 3,"San Borja, Lima",105 m² tot.,3 dorm.,"S/ 890,625 · USD 237,500"
las Violetas 2,"Santiago de Surco, Lima",367 m² tot.,4 dorm.,"S/ 1,331,963 · USD 359,990"
Av. De Los Precursores al 300,"Santiago de Surco, Lima",119 m² tot.,3 dorm.,"S/ 756,200 · USD 199,000"
Monte Real 133,"Chacarilla Del Estanque, Santiago de Surco",127 m² tot.,3 dorm.,"S/ 1,095,000 · USD 295,000"
"Av, Faustino Sanchez Carrión 280","Pershing, Magdalena",50 a 75 m² tot.,2 a 3 dorm.,"S/ 371,339"
"AV. FAUSTINO SANCHEZ CARRIÓN 411, Jesús María","Residencial San Felipe, Jesús María",57 a 75 m² tot.,2 a 3 dorm.,"S/ 457,200"
Calle Jorge Polar 330,"Santa Cruz, Miraflores",102 a 132 m² tot.,1 a 3 dorm.,"S/ 527,098 · USD 141,693"
Jr. Arica 859,"Udima, San Miguel",37 a 78 m² tot.,1 a 3 dorm.,"S/ 259,220"
Av. Manuel Villavicencio 1045,"Lince, Lima",65 a 96 m² tot.,2 a 3 dorm.,"S/ 546,000 · USD 140,000"
Av. 28 de julio 340 - Jesus Maria,"Jesús María, Lima",38 a 89 m² tot.,1 a 3 dorm.,"S/ 252,520"
"Jr. Las Gaviotas 1660 Urb. Sagitario, Santiago de Surco.","Sagitario, Santiago de Surco",45 a 366 m² tot.,1 a 3 dorm.,"S/ 285,440 · USD 75,100"
Santa Isabel 196,"Pueblo Libre, Lima",32 a 114 m² tot.,1 a 3 dorm.,"S/ 259,200 · USD 69,120"
Flora Tristán 485,"Magdalena, Lima",50 a 220 m² tot.,2 a 4 dorm.,"S/ 455,608"
Av. Petit Thouars 980,"Santa Beatriz, Lima Cercado",37 a 71 m² tot.,1 a 3 dorm.,"S/ 225,641"
Av. Alejandro Bertello 846,"Pando, Lima Cercado",32 a 73 m² tot.,1 a 3 dorm.,"S/ 250,000"
Av Salaverry 1810,"Jesús María, Lima",41 a 72 m² tot.,1 a 3 dorm.,"S/ 352,000"
Calle Enrique Barrón 695,"Barranco, Lima",42 a 47 m² tot.,1 dorm.,"S/ 407,542"
"Av. Caminos del inca 508, cruce con Cañon del Pato","Santiago de Surco, Lima",47 a 69 m² tot.,1 a 3 dorm.,"S/ 355,000"
Av. Mello Franco 341,"Jesús María, Lima",39 a 67 m² tot.,1 a 3 dorm.,"S/ 254,435"
Jr. 2 Monterrico Norte,"San Borja, Lima",114 m² tot.,3 dorm.,"S/ 829,000 · USD 218,500"
Los Cabildos,"Santiago de Surco, Lima",216 m² tot.,3 dorm.,"S/ 1,332,000 · USD 360,000"
Aurelio Miro Quesada,"Golf, San Isidro",206 m² tot.,3 dorm.,"S/ 2,220,000 · USD 600,000"
Duplex Vista Externa en Alameda de la Paz con Los Fresnos,"El Remanso, La Molina",197 m² tot.,3 dorm.,"S/ 810,300 · USD 219,000"
AVENIDA GRAU,"Barranco, Lima",40 m² tot.,1 dorm.,"S/ 465,754"
AV. JOSE GALVEZ BARRENECHEA 604 SAN ISIDRO,"Corpac, San Isidro",244 m² tot.,3 dorm.,"S/ 1,190,700 · USD 315,000"
jr. jose eugenio paredes,"Lima Cercado, Lima",333 m² tot.,5 dorm.,"S/ 1,467,180 · USD 390,000"
"CALLE LOS CEDROS, CHORRILLOS","Chorrillos, Lima",176 m² tot.,3 dorm.,"S/ 922,500 · USD 250,000"
SURCO,"Los Granados, Santiago de Surco",630 m² tot.,5 dorm.,"S/ 3,230,000 · USD 849,900"
"Duplex Ideal Para Vivienda o Inversión - Con Balcón con Vista Externa - En Urbanización El Polo, Surco (calle Boulevard)","El Polo, Santiago de Surco",255 m² tot.,5 dorm.,"S/ 1,216,000 · USD 320,000"
Jose Olaya 225,"Chorrillos, Lima",37 a 72 m² tot.,1 a 3 dorm.,"S/ 263,300"
Av Encalada cuadra 13 esquina con Aldebarán,"Santiago de Surco, Lima",23 a 101 m² tot.,NULL,"S/ 175,849"
Av. arenales 1387,"Santa Beatriz, Lima Cercado",50 a 68 m² tot.,2 a 3 dorm.,"S/ 349,000"
Av. Canada N° 1075,"Santa Catalina, La Victoria",NULL,2 a 3 dorm.,"S/ 375,486"
Av. Antonio Miroquesada,"Magdalena, Lima",42 a 86 m² tot.,1 a 3 dorm.,"S/ 384,176"
Avenida Francisco Mariategui 558,"Jesús María, Lima",52 a 80 m² tot.,2 a 3 dorm.,"S/ 362,235"
Calle Lord Nelson 130,"Santa Cruz, Miraflores",86 a 166 m² tot.,2 a 3 dorm.,"S/ 812,250 · USD 213,750"
Av. de los Precursores 490,"Maranga Etapa V, San Miguel",60 a 70 m² tot.,2 a 3 dorm.,"S/ 430,000"
Calle Coronel Odriozola 128,"San Isidro, Lima",45 a 60 m² tot.,1 a 2 dorm.,"S/ 455,726 · USD 121,527"
Av. General Salaverry 3570 - 3580,"San Isidro, Lima",74 a 89 m² tot.,3 dorm.,"S/ 644,860"
"Av. Del Parque Norte 325, San Isidro","San Isidro, Lima",143 a 308 m² tot.,2 a 4 dorm.,"S/ 1,317,200 · USD 356,000"
Cerro Colorado,"Frank Y Mitchel, Cerro Colorado",29 a 142 m² tot.,1 a 4 dorm.,"S/ 236,132 · USD 62,140"
CONDOMINIO OASIS DEL MAR,"Cerro Azul, Cerro Azul",118 m² tot.,NULL,"S/ 88,165 · USD 22,900"
asia,"Asia, Asia",300 m² tot.,NULL,"S/ 123,161 · USD 31,990"
Calle Calvino 183,"La Calera De La Merced, Surquillo",40 a 87 m² tot.,1 a 3 dorm.,"S/ 268,422 · USD 69,720"
