direccion,distrito,metraje,dormitorios,Precio Soles,Precio Dolares
Calle Montemar 167 (incluye 2 Cocheras Paralelas),"Chacarilla Del Estanque, Santiago de Surco",129 m² tot.,3 dorm.,"1,009,800.00","270,000.00"
Av. Encalada 1344. Surco,"Santiago de Surco, Lima",45 a 128 m² tot.,1 a 3 dorm.,"319,919.00","86,464.59"
Calle San Martin 885,"Miraflores, Lima",65 a 83 m² tot.,3 dorm.,"653,000.00","176,486.49"
Jr Pezet y Monel 2744,"S/n, Lince",58 a 138 m² tot.,2 a 4 dorm.,"490,010.00","132,435.14"
Mz. B SubLt. 1B Urb. Villa Municipal de Trujillo,"Trujillo, Trujillo",71 a 76 m² tot.,3 dorm.,"224,000.00","59,000.00"
Jr. Camilo Carrillo 214,"Santa Beatriz, Jesús María",68 a 83 m² tot.,2 a 3 dorm.,"492,700.00","133,162.16"
Av. Paseo de la Republica 5613,"Miraflores, Lima",41 a 74 m² tot.,1 a 3 dorm.,"374,965.00","101,341.89"
Jirón Abraham Valdelomar 629,"Pueblo Libre, Lima",52 a 193 m² tot.,1 a 4 dorm.,"371,696.00","98,593.00"
Av. Paseo de la República 5745,"Miraflores, Lima",120 a 122 m² tot.,3 dorm.,"750,000.00","200,000.00"
Av. Brasil 1350,"Pueblo Libre, Lima",37 a 72 m² tot.,1 a 3 dorm.,"226,569.00","61,234.86"
Av. Arequipa N° 1437,"Santa Beatriz, Lima Cercado",42 a 136 m² tot.,1 a 3 dorm.,"321,921.00","87,005.68"
calle el rosario 342,"Miraflores, Lima",81 a 204 m² tot.,1 a 3 dorm.,"710,600.00","192,054.05"
Jirón Mariscal Ramon Castilla 740,"San Miguel, San Miguel",64 a 106 m² tot.,3 dorm.,"474,813.00","128,327.84"
Jr.Pablo Bermudez 316,"Jesús María, Lima",51 a 75 m² tot.,2 a 3 dorm.,"428,000.00","115,675.68"
Av. Paseo de la República 2099 – Santa Catalina,"Santa Catalina, La Victoria",41 a 74 m² tot.,1 a 2 dorm.,"352,588.00","95,294.05"
Calle República de Líbano 115,"Santiago de Surco, Lima",48 a 99 m² tot.,1 a 3 dorm.,"394,900.00","106,729.73"
Jiron Tejada 165 Barranco,"Barranco, Lima",73 m² tot.,3 dorm.,"430,000.00","115,000.00"
Malecón 28 de Julio 455,"Miraflores, Lima",107 m² tot.,3 dorm.,"543,750.00","145,000.00"
Calle El Rosal Los Sauces Surquillo,"Surquillo, Lima",120 m² tot.,3 dorm.,"585,900.00","155,000.00"
Padre Urraca al 121,"Parques De La Huaca Etapa 1, San Miguel",94 m² tot.,3 dorm.,"377,000.00","102,000.00"
Calle Las Palomas 1,"La Pradera, La Molina",1080 m² tot.,4 dorm.,"6,639,400.00","1,780,000.00"
Surco,"Santiago de Surco, Lima",104 m² tot.,3 dorm.,"635,040.00","168,000.00"
Calle Pietro Marchand Cuadra 3,"San Borja, Lima",105 m² tot.,3 dorm.,"890,625.00","237,500.00"
las Violetas 2,"Santiago de Surco, Lima",367 m² tot.,4 dorm.,"1,331,963.00","359,990.00"
Av. De Los Precursores al 300,"Santiago de Surco, Lima",119 m² tot.,3 dorm.,"756,200.00","199,000.00"
Monte Real 133,"Chacarilla Del Estanque, Santiago de Surco",127 m² tot.,3 dorm.,"1,095,000.00","295,000.00"
"Av, Faustino Sanchez Carrión 280","Pershing, Magdalena",50 a 75 m² tot.,2 a 3 dorm.,"371,339.00","100,361.89"
"AV. FAUSTINO SANCHEZ CARRIÓN 411, Jesús María","Residencial San Felipe, Jesús María",57 a 75 m² tot.,2 a 3 dorm.,"457,200.00","123,567.57"
Calle Jorge Polar 330,"Santa Cruz, Miraflores",102 a 132 m² tot.,1 a 3 dorm.,"527,098.00","141,693.00"
Jr. Arica 859,"Udima, San Miguel",37 a 78 m² tot.,1 a 3 dorm.,"259,220.00","70,059.46"
Av. Manuel Villavicencio 1045,"Lince, Lima",65 a 96 m² tot.,2 a 3 dorm.,"546,000.00","140,000.00"
Av. 28 de julio 340 - Jesus Maria,"Jesús María, Lima",38 a 89 m² tot.,1 a 3 dorm.,"252,520.00","68,248.65"
"Jr. Las Gaviotas 1660 Urb. Sagitario, Santiago de Surco.","Sagitario, Santiago de Surco",45 a 366 m² tot.,1 a 3 dorm.,"285,440.00","75,100.00"
Santa Isabel 196,"Pueblo Libre, Lima",32 a 114 m² tot.,1 a 3 dorm.,"259,200.00","69,120.00"
Flora Tristán 485,"Magdalena, Lima",50 a 220 m² tot.,2 a 4 dorm.,"455,608.00","123,137.30"
Av. Petit Thouars 980,"Santa Beatriz, Lima Cercado",37 a 71 m² tot.,1 a 3 dorm.,"225,641.00","60,984.05"
Av. Alejandro Bertello 846,"Pando, Lima Cercado",32 a 73 m² tot.,1 a 3 dorm.,"250,000.00","67,567.57"
Av Salaverry 1810,"Jesús María, Lima",41 a 72 m² tot.,1 a 3 dorm.,"352,000.00","95,135.14"
Calle Enrique Barrón 695,"Barranco, Lima",42 a 47 m² tot.,1 dorm.,"407,542.00","110,146.49"
"Av. Caminos del inca 508, cruce con Cañon del Pato","Santiago de Surco, Lima",47 a 69 m² tot.,1 a 3 dorm.,"355,000.00","95,945.95"
Av. Mello Franco 341,"Jesús María, Lima",39 a 67 m² tot.,1 a 3 dorm.,"254,435.00","68,766.22"
Jr. 2 Monterrico Norte,"San Borja, Lima",114 m² tot.,3 dorm.,"829,000.00","218,500.00"
Los Cabildos,"Santiago de Surco, Lima",216 m² tot.,3 dorm.,"1,332,000.00","360,000.00"
Aurelio Miro Quesada,"Golf, San Isidro",206 m² tot.,3 dorm.,"2,220,000.00","600,000.00"
Duplex Vista Externa en Alameda de la Paz con Los Fresnos,"El Remanso, La Molina",197 m² tot.,3 dorm.,"810,300.00","219,000.00"
AVENIDA GRAU,"Barranco, Lima",40 m² tot.,1 dorm.,"465,754.00","125,879.46"
AV. JOSE GALVEZ BARRENECHEA 604 SAN ISIDRO,"Corpac, San Isidro",244 m² tot.,3 dorm.,"1,190,700.00","315,000.00"
jr. jose eugenio paredes,"Lima Cercado, Lima",333 m² tot.,5 dorm.,"1,467,180.00","390,000.00"
"CALLE LOS CEDROS, CHORRILLOS","Chorrillos, Lima",176 m² tot.,3 dorm.,"922,500.00","250,000.00"
SURCO,"Los Granados, Santiago de Surco",630 m² tot.,5 dorm.,"3,230,000.00","849,900.00"
"Duplex Ideal Para Vivienda o Inversión - Con Balcón con Vista Externa - En Urbanización El Polo, Surco (calle Boulevard)","El Polo, Santiago de Surco",255 m² tot.,5 dorm.,"1,216,000.00","320,000.00"
Jose Olaya 225,"Chorrillos, Lima",37 a 72 m² tot.,1 a 3 dorm.,"263,300.00","71,162.16"
Av. arenales 1387,"Santa Beatriz, Lima Cercado",50 a 68 m² tot.,2 a 3 dorm.,"349,000.00","94,324.32"
Av. Antonio Miroquesada,"Magdalena, Lima",42 a 86 m² tot.,1 a 3 dorm.,"384,176.00","103,831.35"
Avenida Francisco Mariategui 558,"Jesús María, Lima",52 a 80 m² tot.,2 a 3 dorm.,"362,235.00","97,901.35"
Calle Lord Nelson 130,"Santa Cruz, Miraflores",86 a 166 m² tot.,2 a 3 dorm.,"812,250.00","213,750.00"
Av. de los Precursores 490,"Maranga Etapa V, San Miguel",60 a 70 m² tot.,2 a 3 dorm.,"430,000.00","116,216.22"
Calle Coronel Odriozola 128,"San Isidro, Lima",45 a 60 m² tot.,1 a 2 dorm.,"455,726.00","121,527.00"
Av. General Salaverry 3570 - 3580,"San Isidro, Lima",74 a 89 m² tot.,3 dorm.,"644,860.00","174,286.49"
"Av. Del Parque Norte 325, San Isidro","San Isidro, Lima",143 a 308 m² tot.,2 a 4 dorm.,"1,317,200.00","356,000.00"
Cerro Colorado,"Frank Y Mitchel, Cerro Colorado",29 a 142 m² tot.,1 a 4 dorm.,"236,132.00","62,140.00"
Calle Calvino 183,"La Calera De La Merced, Surquillo",40 a 87 m² tot.,1 a 3 dorm.,"268,422.00","69,720.00"
"Calle 35, Urb. El Pinar","El Pinar, Comas",136 m² tot.,4 dorm.,"265,000.00","69,500.00"
Jr. Huiracocha,"Jesús María, Lima",108 m² tot.,3 dorm.,"799,000.00","214,209.00"
AVENIDA TOMAS MARSANO,"Miraflores, Lima",57 m² tot.,2 dorm.,"492,100.00","133,000.00"
PLAYA DEL GOLF,"Playa Del Golf, Asia",176 m² tot.,5 dorm.,"1,813,000.00","490,000.00"
Jr. Tacna al 1400,"Magdalena, Lima",65 m² tot.,3 dorm.,"371,250.00","99,000.00"
Avenida El Ejercito 1258,"Orrantia Del Mar, Magdalena",103 m² tot.,3 dorm.,"608,000.00","160,000.00"
Dúplex de Estreno con Espacios Amplios y Áreas Sociales Internas.,"Higuereta, Santiago de Surco",215 m² tot.,3 dorm.,"1,069,600.00","280,000.00"
Alameda LOS Horizontes Cuadra 3 Chorrillos,"Chorrillos, Lima",88 m² tot.,3 dorm.,"334,400.00","88,000.00"
Jiron Mar Peruano 238,"Neptuno, Santiago de Surco",84 a 147 m² tot.,3 dorm.,"752,400.00","203,351.35"
"Av. Casimiro 490, miraflores","Leuro, Miraflores",33 a 171 m² tot.,2 a 3 dorm.,"525,200.00","141,945.95"
Av. Las Gaviotas 440,"Chorrillos, Lima",36 a 71 m² tot.,1 a 3 dorm.,"278,000.00","75,135.14"
Ca. Enrique Palacios 1133,"Santa Cruz, Miraflores",61 a 98 m² tot.,1 a 3 dorm.,"635,000.00","171,621.62"
Av. Javier Prado Este 401,"San Isidro, Lima",29 a 81 m² tot.,1 a 2 dorm.,"267,738.00","72,361.62"
